,year,station,atl_dom_pd,enso_dom_pd,enso_prec_pd,neutro_pd,prec_dom_pd,atl_dom_prom,enso_dom_prom,enso_prec_prom,neutro_prom,prec_dom_prom,sem_iell_real,cluster,fase
0,2007,cengicana,23.8,23.5,23.5,23.8,23.5,23.6,23.6,23.6,23.6,23.6,24.0,26.0,neutro
1,2007,laborovalle,27.825,27.625,27.575,27.575,27.575,28.0,28.0,28.0,28.0,27.4,30.0,30.4,neutro
2,2007,lafragua,35.45,36.15,35.55,35.55,35.55,32.2,33.8,32.2,32.2,32.2,33.0,33.0,neutro
3,2007,puertosanjose,28.2,28.2,28.2,28.2,29.025,28.8,28.8,28.8,28.8,28.8,31.0,30.6,neutro
4,2008,cengicana,23.725,23.5,23.5,23.5,22.2,23.4,23.2,23.2,23.2,22.6,20.0,22.6,nina
5,2008,laborovalle,29.825,28.325,28.55,28.55,28.55,28.8,28.2,28.8,28.8,28.8,31.0,28.2,nina
6,2008,lafragua,32.0,31.05,31.05,31.05,35.6,33.0,31.0,31.0,31.0,32.2,31.0,32.6,nina
7,2008,puertosanjose,26.0,25.775,25.775,26.0,26.775,28.0,27.4,27.4,28.0,28.2,30.0,27.0,nina
8,2009,cengicana,21.425,21.725,21.725,21.725,21.2,23.2,23.2,23.2,23.2,22.6,23.0,25.2,nina
9,2009,laborovalle,27.725,27.575,27.575,27.575,28.325,28.6,28.2,28.2,28.2,28.2,26.0,28.2,nina
10,2009,lafragua,29.5,28.35,28.25,28.25,31.0,29.8,29.4,29.4,29.4,30.6,34.0,31.4,nina
11,2009,puertosanjose,28.05,27.75,27.75,28.05,28.05,28.2,27.4,27.4,28.2,28.2,27.0,29.0,nina
12,2010,cengicana,22.575,22.925,22.925,22.625,21.675,22.8,23.4,23.4,22.6,22.4,19.0,25.8,nino
13,2010,laborovalle,28.875,28.2,28.2,28.95,29.175,28.4,28.6,28.6,28.6,29.2,28.0,30.6,nino
14,2010,lafragua,34.24999999999999,34.825,34.22499999999999,34.825,32.225,34.0,35.2,33.6,35.2,33.6,28.0,32.6,nino
15,2010,puertosanjose,29.025,29.125,29.125,29.125,29.975,29.0,29.0,29.0,29.0,29.0,24.0,30.8,nino
16,2011,cengicana,21.725,22.7,21.95,21.95,22.125,23.0,23.4,23.4,23.4,23.6,19.0,22.0,nina
17,2011,laborovalle,27.175,27.525,27.525,27.275,26.8,28.6,28.6,28.6,28.6,27.6,30.0,29.6,nina
18,2011,lafragua,34.5,29.125,30.425,30.6,33.925,33.2,30.4,31.6,31.6,31.6,34.0,33.0,nina
19,2011,puertosanjose,26.7,25.625,26.375,26.6,26.7,27.4,26.8,26.8,27.4,27.4,28.0,27.6,nina
20,2012,cengicana,24.8,21.425,21.425,21.425,22.625,23.4,23.2,23.2,23.2,22.8,16.0,22.4,nina
21,2012,laborovalle,27.875,27.025,27.125,26.9,29.05,28.6,28.2,28.2,27.6,28.2,28.0,29.2,nina
22,2012,lafragua,28.675,29.775,29.775,29.25,29.75,29.6,31.0,31.0,29.6,32.0,30.0,33.4,nina
23,2012,puertosanjose,27.675,27.6,27.6,27.6,27.85,27.6,27.2,27.2,27.2,27.8,29.0,27.8,nina
24,2013,cengicana,23.1,23.675,23.675,23.075,24.55,22.8,22.8,22.8,22.8,23.4,23.0,23.2,neutro
25,2013,laborovalle,27.2,27.05,26.9,27.05,27.35,27.6,27.6,27.2,27.6,27.6,29.0,27.6,neutro
26,2013,lafragua,30.65,30.6,30.6,30.6,32.75,30.8,30.8,30.8,30.8,32.4,29.0,31.2,neutro
27,2013,puertosanjose,28.2,28.875,28.95,28.95,27.75,28.8,28.6,28.8,28.8,28.8,30.0,28.0,neutro
28,2014,cengicana,23.725,23.65,23.675,23.35,22.975,23.8,23.8,23.8,23.8,22.4,22.0,24.4,neutro
29,2014,laborovalle,27.25,28.1,27.55,27.525,27.75,27.6,27.6,27.6,27.4,27.6,25.0,29.6,neutro
30,2014,lafragua,30.55,30.45,30.525,29.925,31.6,31.8,30.6,30.8,29.2,31.8,30.0,31.8,neutro
31,2014,puertosanjose,29.425,29.7,29.55,29.55,28.125,28.2,29.2,28.8,28.8,28.6,26.0,30.6,neutro
32,2015,cengicana,22.3,22.925,22.9,22.9,21.925,21.8,23.4,23.4,23.4,20.8,18.0,21.6,nino
33,2015,laborovalle,27.2,27.85,28.15,27.85,27.675,27.0,28.6,28.6,28.6,27.4,31.0,28.6,nino
34,2015,lafragua,35.4,36.55,36.5,36.2,34.75,33.0,34.6,34.6,34.6,33.0,32.0,31.8,nino
35,2015,puertosanjose,27.95,28.275,28.05,28.35,28.125,28.2,29.0,28.2,29.0,28.4,33.0,28.8,nino
36,2016,cengicana,21.425,19.85,19.55,20.775,22.3,22.2,21.4,21.4,22.2,22.2,23.0,23.4,nino
37,2016,laborovalle,27.15,29.675,28.725,28.8,29.075,27.8,28.2,28.0,28.0,27.8,32.0,28.8,nino
38,2016,lafragua,29.3,33.1,33.2,32.175,29.925,31.4,33.8,33.6,31.4,31.4,34.0,31.4,nino
39,2016,puertosanjose,28.375,27.525,29.925,31.35,28.875,30.0,28.8,29.6,30.2,28.4,28.0,28.6,nino
40,2017,cengicana,23.05,23.2,23.2,23.125,23.525,23.6,23.4,23.4,23.4,24.2,23.0,24.0,nina
41,2017,laborovalle,27.25,27.325,27.325,27.325,27.45,26.6,26.8,26.8,26.8,28.4,32.0,29.4,nina
42,2017,lafragua,30.425,30.625,30.475,30.625,30.1,30.2,30.6,30.6,30.6,30.6,27.0,33.6,nina
43,2017,puertosanjose,28.85,29.475,29.55,28.95,29.55,28.6,28.6,28.8,28.6,28.8,25.0,28.8,nina
44,2018,cengicana,19.325,18.65,18.65,19.4,19.0,21.0,21.2,21.2,21.2,20.2,18.0,23.2,nina
45,2018,laborovalle,26.875,26.8,26.8,26.725,27.55,27.8,27.6,27.4,27.4,28.2,27.0,27.6,nina
46,2018,lafragua,28.225,29.375,29.425,28.675,29.425,29.2,29.8,29.8,29.0,29.2,34.0,31.6,nina
47,2018,puertosanjose,29.0,28.45,28.975,28.975,28.25,28.0,28.6,28.6,28.6,28.2,28.0,28.6,nina
48,2019,cengicana,23.15,22.4,23.05,23.35,23.8,22.2,22.4,22.4,22.4,24.0,25.0,23.8,nino
49,2019,laborovalle,31.1,29.6,29.9,30.475,29.5,30.2,29.2,30.0,30.0,28.8,27.0,29.0,nino
50,2019,lafragua,33.9,34.35,33.975,33.975,33.225,33.2,34.8,33.4,33.4,32.2,26.0,32.0,nino
51,2019,puertosanjose,28.8,30.6,30.825,29.325,29.25,30.2,29.6,30.2,30.2,29.4,25.0,29.6,nino
52,2020,cengicana,22.225,22.975,22.9,22.4,23.2,22.4,22.6,22.4,22.4,23.4,24.0,23.4,neutro
53,2021,cengicana,21.075,18.0,18.0,19.925,18.425,20.2,19.8,19.8,19.8,20.0,22.0,21.0,nina
54,2022,cengicana,21.525,18.65,18.65,19.8,18.575,21.4,20.4,20.4,20.6,20.2,19.0,19.2,nina
55,2023,cengicana,23.05,23.2,23.1,23.3,20.1,21.6,22.6,22.6,21.8,21.4,22.0,22.8,nina
