dia	1_N	1_Ra	2_N	2_Ra	3_N	3_Ra	4_N	4_Ra	5_N	5_Ra	6_N	6_Ra	7_N	7_Ra	8_N	8_Ra	9_N	9_Ra	10_N	10_Ra	11_N	Unnamed: 22	11_Ra	12_N	12_Ra
1	11.176	28.99	11.39	31.372	11.721	34.588	12.14	37.39	12.519	38.396	12.787	38.273	12.828	38.105	12.621	38.122	12.255	37.426	11.85	35.222	11.462		31.851	11.21	29.273
2	11.18	29.03	11.4	31.48	11.734	34.7	12.153	37.452	12.53	38.405	12.793	38.264	12.825	38.105	12.611	38.118	12.242	37.379	11.837	35.124	11.452		31.743	11.205	29.219
3	11.183	29.072	11.411	31.589	11.747	34.811	12.166	37.511	12.541	38.411	12.798	38.254	12.822	38.105	12.601	38.112	12.229	37.329	11.824	35.024	11.441		31.636	11.2	29.169
4	11.187	29.117	11.421	31.699	11.76	34.921	12.18	37.568	12.552	38.417	12.802	38.245	12.819	38.106	12.59	38.106	12.216	37.279	11.81	34.922	11.43		31.529	11.195	29.121
5	11.191	29.165	11.432	31.81	11.773	35.03	12.193	37.623	12.563	38.421	12.807	38.236	12.815	38.106	12.58	38.099	12.202	37.226	11.797	34.82	11.419		31.424	11.191	29.076
6	11.195	29.216	11.442	31.922	11.787	35.138	12.207	37.676	12.574	38.425	12.811	38.227	12.811	38.107	12.569	38.091	12.189	37.171	11.784	34.717	11.409		31.32	11.187	29.034
7	11.2	29.269	11.453	32.035	11.8	35.244	12.22	37.727	12.584	38.427	12.815	38.218	12.807	38.109	12.559	38.081	12.176	37.115	11.77	34.612	11.399		31.217	11.183	28.995
8	11.205	29.325	11.464	32.149	11.813	35.35	12.233	37.776	12.595	38.428	12.819	38.209	12.802	38.11	12.548	38.071	12.162	37.056	11.757	34.507	11.389		31.115	11.179	28.958
9	11.21	29.384	11.476	32.264	11.827	35.454	12.246	37.823	12.605	38.428	12.822	38.201	12.797	38.112	12.537	38.06	12.149	36.996	11.744	34.4	11.379		31.015	11.176	28.925
10	11.216	29.446	11.487	32.379	11.84	35.557	12.26	37.868	12.615	38.428	12.825	38.193	12.792	38.113	12.526	38.048	12.135	36.934	11.731	34.293	11.369		30.915	11.173	28.894
11	11.221	29.51	11.498	32.495	11.854	35.658	12.273	37.911	12.625	38.426	12.828	38.185	12.787	38.115	12.514	38.035	12.122	36.87	11.718	34.185	11.359		30.831	11.17	28.867
12	11.227	29.577	11.51	32.611	11.867	35.758	12.286	37.953	12.634	38.424	12.831	38.178	12.782	38.117	12.503	38.02	12.108	36.804	11.705	34.076	11.35		30.734	11.168	28.842
13	11.233	29.646	11.521	32.728	11.881	35.857	12.299	37.992	12.644	38.421	12.833	38.171	12.776	38.119	12.492	38.004	12.095	36.736	11.692	33.967	11.341		30.639	11.165	28.82
14	11.24	29.718	11.533	32.845	11.894	35.953	12.312	38.029	12.653	38.417	12.835	38.164	12.77	38.122	12.48	37.987	12.081	36.667	11.679	33.857	11.332		30.546	11.164	28.802
15	11.246	29.793	11.545	32.962	11.908	36.049	12.325	38.064	12.663	38.412	12.837	38.157	12.764	38.124	12.468	37.969	12.068	36.596	11.666	33.746	11.323		30.454	11.162	28.786
16	11.253	29.869	11.557	33.08	11.922	36.142	12.337	38.098	12.672	38.407	12.839	38.151	12.757	38.126	12.456	37.95	12.054	36.522	11.653	33.635	11.314		30.364	11.161	28.774
17	11.26	29.948	11.569	33.197	11.935	36.234	12.35	38.129	12.68	38.401	12.84	38.145	12.75	38.128	12.445	37.929	12.04	36.447	11.641	33.523	11.306		30.276	11.159	28.764
18	11.267	30.03	11.581	33.315	11.949	36.325	12.363	38.159	12.689	38.395	12.841	38.14	12.744	38.13	12.433	37.906	12.027	36.371	11.628	33.412	11.298		30.19	11.159	28.758
19	11.275	30.113	11.594	33.432	11.962	36.413	12.375	38.187	12.697	38.388	12.842	38.135	12.736	38.131	12.42	37.882	12.013	36.292	11.616	33.299	11.289		30.106	11.158	28.754
