No.	Estacion	Codigo	Tipo	"Resolución
temporal *"	Fecha de inicio	Años	Longitud	Latitud	"Altitud
(msnm)"	Estrato	t	LUGAR	RESPONSABLE	Temperatura	Radiación	Humedad Relativa	Precipitación pluvial	"Mojadura
de la hoja"	Velocidad  y dirección del viento	"Presión
atmosférica"	"Brillo
solar"
1	Cengicaña	CEN-CEN	Automática GPRS	15 minutos	1997-11-19 00:00:00	25.367123287671234	-91.055468	14.330962	297	Alto	Alto	Santa Lucía Cotz. Escuintla	ICC	Si	Si	Si	Si	Si	Si	No	Si
2	Tehuantepec	LUT-TEH	Automática GPRS	15 minutos	1998-03-04 00:00:00	25.07945205479452	-91.103443	14.168625	67	Bajo	Bajo	Santa Lucia Cotz. Escuintla	La Unión 	Si	Si	Si	Si	Si	Si	No	No
3	El Bálsamo	PAN-BAL	Automática GPRS	15 minutos	2002-02-13 00:00:00	21.12876712328767	-91.003744	14.281468	280	Medio	Medio	Santa Lucía Cotz. Escuintla	Ingenio Pantaleón	Si	Si	Si	Si	Si	Si	No	No
4	Puyumate	TBU-PUY	Automática GPRS	15 minutos	2002-02-14 00:00:00	21.126027397260273	-91.25991	14.261557	77	Bajo	Bajo	Nueva Concepción, Escuintla	Ingenio Pantaleón	Si	Si	Si	Si	Si	Si	No	No
5	San Antonio el Valle	MAG-SAV	Automática GPRS	15 minutos	2002-02-27 00:00:00	21.09041095890411	-91.200961	13.995364	10	Litoral	Litoral	La Gomera, Escuintla	Ingenio Magdalena	Si	Si	Si	Si	Si	Si	No	No
6	Amazonas	SAA-AMA	Automática GPRS	15 minutos	2003-06-01 00:00:00	19.832876712328765	-90.774593	14.066847	21	Litoral	Litoral	Masagua, Escuintla	Ingenio Santa Ana	Si	Si	Si	Si	Si	Si	No	No
7	Trinidad San Diego	SDT-TRI	Automática GPRS	15 minutos	2003-06-01 00:00:00	19.832876712328765	-90.844006	14.153762	71	Bajo	Bajo	Masagua, Escuintla	Ingenio Trinidad	Si	Si	Si	Si	Si	Si	No	No
8	Irlanda	TBU-IRL	Automática GPRS	15 minutos	2003-06-06 00:00:00	19.81917808219178	-91.426867	14.145889	22	Litoral	Litoral	Tiquisate, Escuintla	Ingenio Palo Gordo	Si	Si	Si	Si	Si	Si	No	No
9	Bonanza	LUT-BON	Automática GPRS	15 minutos	2003-10-23 00:00:00	19.438356164383563	-91.187235	14.078341	29	Litoral	Litoral	La Gomera, Escuintla	Top Green 	Si	Si	Si	Si	Si	Si	No	Si
10	Bouganvilia	MAG-BOU	Automática GPRS	15 minutos	2004-03-14 00:00:00	19.046575342465754	-90.933352	14.11769	54	Bajo	Bajo	La Democracia, Escuintla	Ingenio Magdalena	Si	Si	Si	Si	Si	Si	No	No
11	Naranjales	PAG-NRJ	Automática GPRS	15 minutos	2007-11-06 00:00:00	15.397260273972602	-91.476996	14.365688	96	Bajo	Bajo	Santo Domingo, Suchitepequez	Ingenio Palo Gordo	Si	Si	Si	Si	Si	Si	No	No
12	Petén Oficina	MAT-PEO	Automática GPRS	15 minutos	2008-10-09 00:00:00	14.471232876712328	-91.411898	14.260987	46	Bajo	Bajo	Tiquisate, Escuintla	Ingenio Madre Tierra	Si	Si	Si	Si	Si	Si	No	No
13	Costa Brava	SDT-CBR	Automática GPRS	15 minutos	2008-10-16 00:00:00	14.452054794520548	-90.920738	14.237773	151	Medio	Medio	Santa Lucía Cotz. Escuintla	Ingenio Pantaleón	Si	Si	Si	Si	Si	Si	No	No
14	Tululá	TUL-TLA	Automática GPRS	15 minutos	2009-01-01 00:10:00	14.241076864535767	-91.586101	14.506967	254	Medio	Medio	Cuyotenango, Suchitepequez	Ingenio Tulula	Si	Si	Si	Si	Si	Si	No	No
15	Lorena	PAG-LOR	Automática GPRS	15 minutos	2009-02-03 00:00:00	14.150684931506849	-91.419603	14.520233	333	Alto	Alto	San Antonio Suchitepequez, Suchitepequez	Ingenio Palo Gordo	Si	Si	Si	Si	Si	Si	No	No
16	San Rafael	PAN-SRF	Automática GPRS	15 minutos	2010-02-16 00:00:00	13.115068493150686	-90.634491	14.023491	9	Litoral	Litoral	Guanagazapa, Escuintla	Ingenio Pantaleón	Si	Si	Si	Si	Si	Si	No	No
17	Xoluta	MAG-XOL	Automática GPRS	15 minutos	2012-10-04 00:00:00	10.482191780821918	-91.861372	14.477242	52	Bajo	Bajo	Retalhuleu, Retalhuleu	Ingenio Magdalena	Si	Si	Si	Si	Si	Si	No	No
18	San Nicolás	MAG-SNC	Automática GPRS	15 minutos	2012-10-31 00:00:00	10.408219178082192	-91.603642	14.184544	20	Litoral	Litoral	San Lorenzo, Suchitepéquez	Ingenio Magdalena	Si	Si	Si	Si	Si	Si	No	No
19	Trinidad Magdalena	MAG-TMG	Automática GPRS	15 minutos	2013-02-13 00:00:00	10.12054794520548	-90.25819	13.93207	19	Litoral	Litoral	Pasaco, Jutiapa	Ingenio Magdalena	Si	Si	Si	Si	Si	Si	No	No
20	El Platanar	ICC-PLT	Automática GPRS	15 minutos	2013-09-12 00:00:00	9.542465753424658	-90.937833	14.559667	1572	Alto	Alto	Acatenango, Chimaltenango	Municipalidad Acatenango	Si	Si	Si	Si	Si	Si	No	No
21	La Giralda	SAA-LGR	Automática GPRS	15 minutos	2014-09-01 00:00:00	8.572602739726028	-90.930753	13.980289	20	Litoral	Litoral	Puerto San Jose, Escuintla	Ingenio Magdalena	Si	Si	Si	Si	Si	Si	No	No
22	La Candelaria	ICC-CDL	Automática GPRS	15 minutos	2015-11-06 00:00:00	7.391780821917808	-90.559381	13.912322	5	Litoral	Litoral	Taxisco, Santa Rosa	Aquamaya	Si	Si	Si	Si	Si	Si	Si	No
23	Chiquirines	ICC-CHI	Automática GPRS	15 minutos	2016-02-18 00:00:00	7.1068493150684935	-92.0422222	14.5594444	30	Litoral	Litoral	La Blanca, San Marcos	BANASA	Si	Si	Si	Si	Si	Si	No	No
24	Providencia 	MAG-PVD	Automática GPRS	15 minutos	2016-08-26 00:00:00	6.586301369863014	-91.845667	14.365786	40	Litoral	Bajo	Retalhuleu, Retalhuleu	Ingenio Magdalena	Si	Si	Si	Si	Si	Si	No	No
