dia,mes,N Daylight hours
1,1,11.176
2,1,11.18
3,1,11.183
4,1,11.187
5,1,11.191
6,1,11.195
7,1,11.2
8,1,11.205
9,1,11.21
10,1,11.216
11,1,11.221
12,1,11.227
13,1,11.233
14,1,11.24
15,1,11.246
16,1,11.253
17,1,11.26
18,1,11.267
19,1,11.275
20,1,11.282
21,1,11.29
22,1,11.299
23,1,11.307
24,1,11.315
25,1,11.324
26,1,11.333
27,1,11.342
28,1,11.351
29,1,11.361
30,1,11.37
31,1,11.38
1,2,11.39
2,2,11.4
3,2,11.411
4,2,11.421
5,2,11.432
6,2,11.442
7,2,11.453
8,2,11.464
9,2,11.476
10,2,11.487
11,2,11.498
12,2,11.51
13,2,11.521
14,2,11.533
15,2,11.545
16,2,11.557
17,2,11.569
18,2,11.581
19,2,11.594
20,2,11.606
21,2,11.618
22,2,11.631
23,2,11.644
24,2,11.656
25,2,11.669
26,2,11.682
27,2,11.695
28,2,11.708
29,2,11.714
30,2,
31,2,
1,3,11.721
2,3,11.734
3,3,11.747
4,3,11.76
5,3,11.773
6,3,11.787
7,3,11.8
8,3,11.813
9,3,11.827
10,3,11.84
11,3,11.854
12,3,11.867
13,3,11.881
14,3,11.894
15,3,11.908
16,3,11.922
17,3,11.935
18,3,11.949
19,3,11.962
20,3,11.976
21,3,11.99
22,3,12.003
23,3,12.017
24,3,12.031
25,3,12.044
26,3,12.058
27,3,12.072
28,3,12.085
29,3,12.099
30,3,12.112
31,3,12.126
1,4,12.14
2,4,12.153
3,4,12.166
4,4,12.18
5,4,12.193
6,4,12.207
7,4,12.22
8,4,12.233
9,4,12.246
10,4,12.26
11,4,12.273
12,4,12.286
13,4,12.299
14,4,12.312
15,4,12.325
16,4,12.337
17,4,12.35
18,4,12.363
19,4,12.375
20,4,12.388
21,4,12.4
22,4,12.413
23,4,12.425
24,4,12.437
25,4,12.449
26,4,12.461
27,4,12.473
28,4,12.485
29,4,12.496
30,4,12.508
31,4,
1,5,12.519
2,5,12.53
3,5,12.541
4,5,12.552
5,5,12.563
6,5,12.574
7,5,12.584
8,5,12.595
9,5,12.605
10,5,12.615
11,5,12.625
12,5,12.634
13,5,12.644
14,5,12.653
15,5,12.663
16,5,12.672
17,5,12.68
18,5,12.689
19,5,12.697
20,5,12.706
21,5,12.714
22,5,12.721
23,5,12.729
24,5,12.736
25,5,12.744
26,5,12.751
27,5,12.757
28,5,12.764
29,5,12.77
30,5,12.776
31,5,12.782
1,6,12.787
2,6,12.793
3,6,12.798
4,6,12.802
5,6,12.807
6,6,12.811
7,6,12.815
8,6,12.819
9,6,12.822
10,6,12.825
11,6,12.828
12,6,12.831
13,6,12.833
14,6,12.835
15,6,12.837
16,6,12.839
17,6,12.84
18,6,12.841
19,6,12.842
20,6,12.842
21,6,12.842
22,6,12.842
23,6,12.842
24,6,12.841
25,6,12.84
26,6,12.839
27,6,12.837
28,6,12.835
29,6,12.833
30,6,12.831
31,6,
1,7,12.828
2,7,12.825
3,7,12.822
4,7,12.819
5,7,12.815
6,7,12.811
7,7,12.807
8,7,12.802
9,7,12.797
10,7,12.792
11,7,12.787
12,7,12.782
13,7,12.776
14,7,12.77
15,7,12.764
16,7,12.757
17,7,12.75
18,7,12.744
19,7,12.736
20,7,12.729
21,7,12.721
22,7,12.714
23,7,12.706
24,7,12.697
25,7,12.689
26,7,12.68
27,7,12.671
28,7,12.662
29,7,12.653
30,7,12.644
31,7,12.634
1,8,12.621
2,8,12.611
3,8,12.601
4,8,12.59
5,8,12.58
6,8,12.569
7,8,12.559
8,8,12.548
9,8,12.537
10,8,12.526
11,8,12.514
12,8,12.503
