estacion_resume,altitud,estrato,latitud,longitud,estacion,latitud_rad
CEN,300,Alto,14.330962,91.055468,CENCEN,0.250122472
CON,482,Alto,14.337483,90.787169,ICCCON,0.250236285
LOR,340,Alto,14.520233,91.419603,PAGLOR,0.253425874
BOU,50,Bajo,14.11769,90.933352,MAGBOU,0.246400173
NAR,91,Bajo,14.365688,91.476996,PAGNRJ,0.250728555
PEO,51,Bajo,14.260987,91.411898,MATPEO,0.248901178
PUY,86,Bajo,14.261557,91.25991,TBUPUY,0.248911126
PVD,40,Bajo,14.365786,91.845667,MAGPVD,0.250730265
TEH,60,Bajo,14.168625,91.103443,LUTTEH,0.247289157
TRI,69,Bajo,14.153762,90.844006,SDTTRI,0.247029748
XOL,52,Bajo,14.477242,91.861372,MAGXOL,0.25267554
ALA,30,Litoral,14.6281861,92.1377472,ICCALA,0.255310011
AMA,28,Litoral,14.066847,90.774593,SAAAMA,0.245512796
BON,29,Litoral,14.078341,91.187235,LUTBON,0.245713404
CHI,13,Litoral,14.5594444,92.0422222,ICCCHI,0.254110242
IRL,20,Litoral,14.145889,91.426867,TBUIRL,0.246892339
LCD,5,Litoral,13.912322,90.559381,ICCCDL,0.242815825
LGR,20,Litoral,13.980289,90.930753,SAALGR,0.244002073
LMQ,17,Litoral,13.8905556,90.32805556,SAALMQ,0.24243593
SAV,11,Litoral,13.995364,91.200961,MAGSAV,0.244265182
SNC,20,Litoral,14.184544,91.603642,MAGSNC,0.247566996
SRF,10,Litoral,14.023491,90.634491,PANSRF,0.244756091
TMG,19,Litoral,13.93207,90.25819,MAGTMG,0.243160493
BAL,280,Medio,14.281468,91.003744,PANBAL,0.249258639
CBR,144,Medio,14.237773,90.920738,SDTCBR,0.248496017
COC,215,Medio,14.382847,91.196198,PAGCOC,0.251028036
TUL,253,Medio,14.506967,91.586101,TULTLA,0.253194339
SOTZ,1781,Alto,14.674384,90.812536,ICCSOTZ,0.256116317
JOY,7,Litoral,13.931036,91.19881,ICCJOY,0.243142446
PLT,1572,Alto,14.559667,-90.937833,ICCPLT,0.254114127
STA,1196,Alto ,14.449523,-90.531055,ICCSTA,0.252191752
YEPO,1275,Alto,14.483053,-90.961541,ICCYEPO,0.252776961
PBR,2285,Alto,14.736308,-90.965263,ICCPBR,0.257197094
MTA,37,Litoral,14.085284,-91.022841,ICCMTA,0.245834582
