nombre_estacion,estacion,estrato
Cengicana,CENCEN,Alto
Tehuantepec,LUTTEH,Bajo
El balsamo,PANBAL,Medio
Puyumate,TBUPUY,Bajo
San Antonio el Valle,MAGSAV,Litoral
Amazonas,SAAAMA,Litoral
Trinidad San Diego,SDTTRI,Bajo
Irlanda,TBUIRL,Litoral
Bonanza,LUTBON,Litoral
Bouganvilia,MAGBOU,Bajo
Naranjales,PAGNRJ,Bajo
Peten Oficina,MATPEO,Bajo
Costa Brava,SDTCBR,Medio
Tulula,TULTLA,Medio
Lorena,PAGLOR,Alto
San Rafael,PANSRF,Litoral
Xoluta,MAGXOL,Bajo
San Nicolás,MAGSNC,Litoral
Trinidad Magdalena,MAGTMG,Litoral
El Platanar,ICCPLT,Alto
La Giralda,SAALGR,Litoral
La Candelaria,ICCCDL,Litoral
Chiquirines,ICCCHI,Litoral
Providencia ,MAGPVD,Bajo
Alamo,ICCALA,Litoral
Cocales,PAGCOC,Medio
Concepcion,ICCCON,Alto
La maquina,SAALMQ,Litoral
Santa Teresa ,ICCSTA,Alto 
FCA Yepocapa,ICCYEPO,Alto
Central Izalco ,CASSACIZ,Medio 
Copal ,CASSACPL,Bajo 
Chaparrastique,CASSACPT,Bajo
El Carmen,CASSAECA,Litoral
San Clemente,CASSASCL,Alto
Agua Santa,CASSAAGS,Litoral
Pueblo Real ,ICCPBR,Alto
Monte Alegre,ICCMTA,Litoral
Sotz'il,ICCSOTZ,Alto 
La Joya ,ICCJOY,Litoral
