dia,mes,radiacion_dia_despejado
1,1,254.1
2,1,254.4
3,1,254.8
4,1,255.2
5,1,255.6
6,1,256.1
7,1,256.5
8,1,257
9,1,257.5
10,1,258.1
11,1,258.6
12,1,259.2
13,1,259.8
14,1,260.5
15,1,261.1
16,1,261.8
17,1,262.5
18,1,263.2
19,1,263.9
20,1,264.6
21,1,265.4
22,1,266.2
23,1,267
24,1,267.8
25,1,268.7
26,1,269.5
27,1,270.4
28,1,271.2
29,1,272.1
30,1,273
31,1,274
1,2,274.9
2,2,275.8
3,2,276.8
4,2,277.7
5,2,278.7
6,2,279.7
7,2,280.7
8,2,281.7
9,2,282.7
10,2,283.7
11,2,284.7
12,2,285.7
13,2,286.7
14,2,287.8
15,2,288.8
16,2,289.8
17,2,290.8
18,2,291.9
19,2,292.9
20,2,293.9
21,2,294.9
22,2,296
23,2,297
24,2,298
25,2,299
26,2,300
27,2,301
28,2,302
29,2,303
30,2,
31,2,
1,3,304
2,3,305
3,3,305.9
4,3,306.9
5,3,307.8
6,3,308.7
7,3,309.7
8,3,310.6
9,3,311.5
10,3,312.4
11,3,313.3
12,3,314.1
13,3,315
14,3,315.8
15,3,316.6
16,3,317.4
17,3,318.2
18,3,319
19,3,319.8
20,3,320.5
21,3,321.2
22,3,321.9
23,3,322.6
24,3,323.3
25,3,324
26,3,324.6
27,3,325.3
28,3,325.9
29,3,326.5
30,3,327
31,3,327.6
1,4,328.1
2,4,328.7
3,4,329.2
4,4,329.6
5,4,330.1
6,4,330.6
7,4,331
8,4,331.4
9,4,331.8
10,4,332.2
11,4,332.6
12,4,332.9
13,4,333.2
14,4,333.5
15,4,333.8
16,4,334.1
17,4,334.4
18,4,334.6
19,4,334.9
20,4,335.1
21,4,335.3
22,4,335.5
23,4,335.7
24,4,335.8
25,4,336
26,4,336.1
27,4,336.2
28,4,336.3
29,4,336.4
30,4,336.5
31,4,
1,5,336.6
2,5,336.7
3,5,336.7
4,5,336.7
5,5,336.8
6,5,336.8
7,5,336.8
8,5,336.8
9,5,336.8
10,5,336.8
11,5,336.8
12,5,336.8
13,5,336.7
14,5,336.7
15,5,336.7
16,5,336.6
17,5,336.6
18,5,336.5
19,5,336.4
20,5,336.4
21,5,336.3
22,5,336.2
23,5,336.1
24,5,336.1
25,5,336
26,5,335.9
27,5,335.8
28,5,335.7
29,5,335.7
30,5,335.6
31,5,335.5
1,6,335.4
2,6,335.3
3,6,335.2
4,6,335.2
5,6,335.1
6,6,335
7,6,334.9
8,6,334.9
9,6,334.8
10,6,334.7
11,6,334.7
12,6,334.6
13,6,334.5
14,6,334.5
15,6,334.4
16,6,334.4
17,6,334.3
18,6,334.3
19,6,334.2
20,6,334.2
21,6,334.2
22,6,334.1
23,6,334.1
24,6,334.1
25,6,334.1
26,6,334
27,6,334
28,6,334
29,6,334
30,6,334
31,6,
1,7,334
2,7,334
3,7,334
4,7,334
5,7,334
6,7,334
7,7,334
8,7,334
9,7,334.1
10,7,334.1
11,7,334.1
12,7,334.1
13,7,334.1
14,7,334.1
15,7,334.2
16,7,334.2
17,7,334.2
18,7,334.2
19,7,334.2
20,7,334.2
21,7,334.3
22,7,334.3
23,7,334.3
24,7,334.3
25,7,334.3
26,7,334.3
27,7,334.3
28,7,334.2
29,7,334.2
30,7,334.2
31,7,334.2
1,8,334.1
2,8,334.1
3,8,334.1
4,8,334
5,8,333.9
6,8,333.9
7,8,333.8
8,8,333.7
9,8,333.6
10,8,333.5
11,8,333.4
12,8,333.2
13,8,333.1
14,8,333
15,8,332.8
16,8,332.6
17,8,332.4
18,8,332.2
19,8,332
20,8,331.8
21,8,331.6
22,8,331.3
23,8,331.1
24,8,330.8
