Fecha	temperatura	radiacion	humedad relativa	precipitacion	velocidad viento	mojadura	direccion viento
2022-09-12	13.4	0.0	99	0.0	8.6	10	213.9
2022-09-12	13.3	0.0	99	0.0	9.5	10	220.8
2022-09-12	13.3	0.0	99	0.0	6.0	10	181.8
2022-09-12	13.2	0.0	99	0.0	7.6	10	222.1
2022-09-12	13.2	0.0	99	0.0	10.6	9	177.1
2022-09-12	13.2	0.0	99	0.0	8.6	9	157.2
2022-09-12	13.1	0.0	98	0.0	10.1	9	182.2
2022-09-12	13.1	0.0	98	0.0	5.9	10	192.1
2022-09-12	13.1	0.0	98	0.0	4.4	10	316.3
2022-09-12	13.1	0.0	97	0.0	7.3	10	236.3
2022-09-12	13.1	0.0	97	0.0	6.9	9	246.7
2022-09-12	12.9	0.0	97	0.0	5.4	10	287.6
2022-09-12	12.6	0.0	97	0.0	4.3	10	291.7
2022-09-12	12.2	0.0	97	0.0	3.1	10	19.0
2022-09-12	12.1	0.0	98	0.0	4.5	10	331.8
2022-09-12	11.9	0.0	98	0.0	3.7	10	18.1
2022-09-12	11.8	0.0	98	0.0	5.2	10	31.2
2022-09-12	11.6	0.0	98	0.0	2.2	10	19.0
2022-09-12	11.6	0.0	99	0.0	4.3	10	345.8
2022-09-12	11.9	0.0	99	0.0	2.9	10	45.8
2022-09-12	11.9	0.0	99	0.0	4.5	10	12.4
2022-09-12	11.8	0.0	99	0.0	3.1	10	11.5
2022-09-12	11.7	0.0	99	0.0	2.9	10	11.8
2022-09-12	11.5	0.3	99	0.0	4.8	10	31.7
2022-09-12	11.5	2.5	99	0.0	4.1	10	91.9
2022-09-12	11.2	15.8	99	0.0	3.1	10	48.1
2022-09-12	11.2	38.0	99	0.0	3.2	10	44.7
2022-09-12	11.5	63.8	100	0.0	3.0	10	148.1
2022-09-12	11.7	96.6	99	0.0	5.0	10	343.1
2022-09-12	12.0	127.3	99	0.0	4.6	10	30.4
2022-09-12	12.6	160.3	99	0.0	4.0	10	50.0
2022-09-12	13.1	204.0	98	0.0	3.0	4	115.6
2022-09-12	14.0	243.4	96	0.0	2.8	1	77.8
2022-09-12	15.1	342.5	92	0.0	4.3	0	75.6
2022-09-12	15.9	331.5	83	0.0	4.4	0	266.2
2022-09-12	15.5	287.9	84	0.0	7.7	0	216.1
2022-09-12	15.8	535.5	84	0.0	8.5	0	211.7
2022-09-12	16.6	587.3	82	0.0	9.0	0	203.7
2022-09-12	16.9	571.6	81	0.0	9.4	0	193.3
2022-09-12	17.1	801.6	77	0.0	6.7	0	234.4
2022-09-12	17.4	735.4	76	0.0	10.0	0	197.1
2022-09-12	17.9	837.5	73	0.0	9.5	0	185.3
2022-09-12	18.4	883.1	74	0.0	9.1	0	209.0
2022-09-12	18.5	812.6	73	0.0	11.7	0	195.5
2022-09-12	18.7	655.6	73	0.0	9.7	0	211.5
2022-09-12	19.0	1059.1	72	0.0	15.5	0	216.6
2022-09-12	18.8	995.3	73	0.0	12.5	0	194.9
2022-09-12	19.3	991.3	70	0.0	9.7	0	239.8
2022-09-12	18.9	999.1	69	0.0	7.2	0	231.9
2022-09-12	19.4	989.3	67	0.0	7.6	0	359.1
2022-09-12	19.8	990.9	66	0.0	10.5	0	304.4
2022-09-12	19.9	791.9	68	0.0	8.8	0	184.6
2022-09-12	19.7	555.7	67	0.0	11.4	0	241.8
2022-09-12	18.7	168.3	70	0.0	10.2	0	226.7
2022-09-12	18.4	143.7	74	0.0	11.1	0	236.3
2022-09-12	17.0	69.9	86	0.0	11.1	0	184.8
2022-09-12	17.7	446.0	80	0.0	11.2	0	229.2
2022-09-12	18.0	199.9	78	0.0	11.9	0	170.1
2022-09-12	18.8	854.3	77	0.0	13.7	0	189.0
2022-09-12	19.1	584.6	76	0.0	12.8	0	182.5
2022-09-12	17.4	139.5	83	1.2	13.7	9	170.5
2022-09-12	14.5	54.1	96	3.8	11.1	10	83.3
2022-09-12	13.8	61.7	96	0.2	9.0	5	31.5
2022-09-12	14.4	85.8	95	0.0	7.4	1	30.4
2022-09-12	14.4	79.1	95	0.0	4.6	0	9.5
2022-09-12	14.4	44.1	96	0.0	3.1	1	34.8
2022-09-12	14.5	165.8	96	0.0	4.2	0	114.7
2022-09-12	14.9	150.6	92	0.0	4.8	0	236.5
2022-09-12	14.9	63.4	91	0.0	4.7	0	177.0
2022-09-12	15.1	147.1	94	0.0	2.3	0	45.0
2022-09-12	14.8	52.4	93	0.0	3.4	1	22.1
2022-09-12	14.4	36.8	95	0.0	2.7	8	0.7
2022-09-12	14.1	10.1	96	0.0	4.2	10	305.1
2022-09-12	13.9	1.6	97	0.0	3.6	10	297.6
2022-09-12	13.8	0.0	97	0.0	2.8	10	54.0
2022-09-12	13.6	0.0	97	0.0	2.6	10	71.8
