dia	1_rgl	1_rdp	2_rgl	2_rdp	3_rgl	3_rdp	4_rgl	4_rdp	5_rgl	5_rdp	6_rgl	6_rdp	7_rgl	7_rdp	8_rgl	8_rdp	9_rgl	9_rdp	10_rgl	10_rdp	11_rgl	11_rdp	12_rgl	12_rdp
1	336.3	254.1	363.8	274.9	402.3	304.0	434.3	328.1	445.5	336.6	443.9	335.4	442.0	334.0	442.2	334.1	434.1	328.0	408.6	308.7	369.5	279.2	339.5	256.5
2	336.7	254.4	365.1	275.8	403.6	305.0	435.0	328.7	445.5	336.7	443.8	335.3	442.0	334.0	442.2	334.1	433.6	327.6	407.4	307.9	368.2	278.2	338.9	256.1
3	337.2	254.8	366.3	276.8	404.9	305.9	435.6	329.2	445.6	336.7	443.7	335.2	442.0	334.0	442.1	334.1	433.0	327.2	406.3	307.0	367.0	277.3	338.3	255.6
4	337.8	255.2	367.6	277.7	406.1	306.9	436.3	329.6	445.7	336.7	443.6	335.2	442.0	334.0	442.0	334.0	432.4	326.7	405.1	306.1	365.7	276.4	337.8	255.2
5	338.3	255.6	368.9	278.7	407.4	307.8	436.9	330.1	445.7	336.8	443.5	335.1	442.0	334.0	441.9	333.9	431.8	326.3	403.9	305.2	364.5	275.4	337.2	254.8
6	338.9	256.1	370.2	279.7	408.6	308.7	437.5	330.6	445.7	336.8	443.4	335.0	442.1	334.0	441.9	333.9	431.2	325.8	402.7	304.3	363.3	274.5	336.8	254.5
7	339.5	256.5	371.5	280.7	409.8	309.7	438.1	331.0	445.8	336.8	443.3	334.9	442.1	334.0	441.7	333.8	430.5	325.3	401.5	303.4	362.1	273.6	336.3	254.1
8	340.2	257.0	372.8	281.7	411.0	310.6	438.6	331.4	445.8	336.8	443.2	334.9	442.1	334.0	441.6	333.7	429.9	324.8	400.3	302.5	360.9	272.7	335.9	253.8
9	340.8	257.5	374.1	282.7	412.2	311.5	439.1	331.8	445.8	336.8	443.1	334.8	442.1	334.1	441.5	333.6	429.2	324.3	399.0	301.5	359.8	271.8	335.5	253.5
10	341.6	258.1	375.4	283.7	413.4	312.4	439.6	332.2	445.8	336.8	443.0	334.7	442.1	334.1	441.4	333.5	428.4	323.7	397.8	300.6	358.6	271.0	335.2	253.2
11	342.3	258.6	376.8	284.7	414.6	313.3	440.1	332.6	445.7	336.8	442.9	334.7	442.1	334.1	441.2	333.4	427.7	323.2	396.5	299.6	357.5	270.1	334.8	253.0
12	343.1	259.2	378.1	285.7	415.7	314.1	440.6	332.9	445.7	336.8	442.8	334.6	442.2	334.1	441.0	333.2	426.9	322.6	395.3	298.7	356.4	269.3	334.6	252.8
13	343.9	259.8	379.5	286.7	416.8	315.0	441.0	333.2	445.7	336.7	442.7	334.5	442.2	334.1	440.9	333.1	426.1	322.0	394.0	297.7	355.3	268.4	334.3	252.6
14	344.7	260.5	380.8	287.8	417.9	315.8	441.4	333.5	445.6	336.7	442.7	334.5	442.2	334.1	440.7	333.0	425.3	321.4	392.7	296.8	354.2	267.6	334.1	252.4
15	345.6	261.1	382.2	288.8	419.0	316.6	441.8	333.8	445.5	336.7	442.6	334.4	442.2	334.2	440.4	332.8	424.5	320.8	391.5	295.8	353.1	266.8	333.9	252.3
16	346.4	261.8	383.5	289.8	420.1	317.4	442.2	334.1	445.5	336.6	442.5	334.4	442.3	334.2	440.2	332.6	423.7	320.1	390.2	294.8	352.1	266.0	333.8	252.2
17	347.4	262.5	384.9	290.8	421.1	318.2	442.5	334.4	445.4	336.6	442.5	334.3	442.3	334.2	440.0	332.4	422.8	319.5	388.9	293.8	351.1	265.3	333.7	252.1
18	348.3	263.2	386.3	291.9	422.2	319.0	442.9	334.6	445.3	336.5	442.4	334.3	442.3	334.2	439.7	332.2	421.9	318.8	387.6	292.9	350.1	264.5	333.6	252.1
19	349.3	263.9	387.6	292.9	423.2	319.8	443.2	334.9	445.3	336.4	442.3	334.2	442.3	334.2	439.4	332.0	421.0	318.1	386.3	291.9	349.1	263.8	333.6	252.0
20	350.3	264.6	389.0	293.9	424.2	320.5	443.5	335.1	445.2	336.4	442.3	334.2	442.4	334.2	439.1	331.8	420.1	317.4	385.0	290.9	348.2	263.1	333.5	252.0
21	351.3	265.4	390.3	294.9	425.1	321.2	443.7	335.3	445.1	336.3	442.2	334.2	442.4	334.3	438.8	331.6	419.1	316.7	383.7	289.9	347.3	262.4	333.6	252.1
22	352.3	266.2	391.7	296.0	426.1	321.9	444.0	335.5	445.0	336.2	442.2	334.1	442.4	334.3	438.5	331.3	418.1	315.9	382.4	288.9	346.4	261.7	333.7	252.1
23	353.4	267.0	393.0	297.0	427.0	322.6	444.2	335.7	444.9	336.1	442.2	334.1	442.4	334.3	438.2	331.1	417.1	315.2	381.1	287.9	345.5	261.0	333.8	252.2
24	354.4	267.8	394.4	298.0	427.9	323.3	444.4	335.8	444.8	336.1	442.1	334.1	442.4	334.3	437.8	330.8	416.1	314.4	379.8	286.9	344.6	260.4	333.9	252.3
25	355.6	268.7	395.7	299.0	428.8	324.0	444.6	336.0	444.7	336.0	442.1	334.1	442.4	334.3	437.4	330.5	415.1	313.7	378.5	286.0	343.8	259.8	334.1	252.4
26	356.7	269.5	397.1	300.0	429.6	324.6	444.8	336.1	444.6	335.9	442.1	334.0	442.4	334.3	437.0	330.2	414.1	312.9	377.2	285.0	343.0	259.2	334.3	252.6
27	357.8	270.4	398.4	301.0	430.5	325.3	445.0	336.2	444.5	335.8	442.1	334.0	442.4	334.3	436.6	329.9	413.0	312.1	375.9	284.0	342.3	258.6	334.5	252.8
28	359.0	271.2	399.7	302.0	431.3	325.9	445.1	336.3	444.3	335.7	442.0	334.0	442.4	334.2	436.1	329.5	411.9	311.2	374.6	283.0	341.5	258.1	334.8	253.0
29	360.2	272.1	401.0	303.0	432.0	326.5	445.3	336.4	444.2	335.7	442.0	334.0	442.3	334.2	435.7	329.2	410.8	310.4	373.3	282.1	340.8	257.5	335.1	253.2
30	361.4	273.0			432.8	327.0	445.4	336.5	444.1	335.6	442.0	334.0	442.3	334.2	435.2	328.8	409.7	309.6	372.0	281.1	340.2	257.0	335.5	253.5
31	362.6	274.0			433.5	327.6			444.0	335.5			442.3	334.2	434.7	328.4			370.7	280.1			335.9	253.8
